departure_date,origin_cluster_id,locality,departure_time,destination_cluster_id,distance_meters,static_duration_seconds,traffic_duration_seconds,predicted_arrival_time,arrival_buffer_minutes,status
2026-08-25,H3,Hoodi,08:45,OFFICE,1921,395,404,2026-08-25T08:51:44+05:30,88.26666666666667,success
2026-08-25,H3,Hoodi,09:00,OFFICE,1921,395,415,2026-08-25T09:06:55+05:30,73.08333333333333,success
2026-08-25,H3,Hoodi,09:15,OFFICE,1921,395,438,2026-08-25T09:22:18+05:30,57.7,success
2026-08-25,H3,Hoodi,09:30,OFFICE,1921,395,450,2026-08-25T09:37:30+05:30,42.5,success
2026-08-25,H3,Hoodi,09:45,OFFICE,1921,395,482,2026-08-25T09:53:02+05:30,26.966666666666665,success
2026-08-25,H3,Hoodi,10:00,OFFICE,1921,395,514,2026-08-25T10:08:34+05:30,11.433333333333334,success
2026-08-25,D1,Doddanekkundi,08:30,OFFICE,4436,932,1027,2026-08-25T08:47:07+05:30,92.88333333333334,success
2026-08-25,D1,Doddanekkundi,08:45,OFFICE,4436,932,1057,2026-08-25T09:02:37+05:30,77.38333333333334,success
2026-08-25,D1,Doddanekkundi,09:00,OFFICE,4436,932,1098,2026-08-25T09:18:18+05:30,61.7,success
2026-08-25,D1,Doddanekkundi,09:15,OFFICE,4436,932,1150,2026-08-25T09:34:10+05:30,45.833333333333336,success
2026-08-25,D1,Doddanekkundi,09:30,OFFICE,4436,932,1167,2026-08-25T09:49:27+05:30,30.55,success
2026-08-25,D1,Doddanekkundi,09:45,OFFICE,4436,932,1210,2026-08-25T10:05:10+05:30,14.833333333333334,success
2026-08-25,D1,Doddanekkundi,10:00,OFFICE,4436,932,1228,2026-08-25T10:20:28+05:30,-0.4666666666666667,success
2026-08-25,D2,Doddanekkundi,08:30,OFFICE,4689,1054,1149,2026-08-25T08:49:09+05:30,90.85,success
2026-08-25,D2,Doddanekkundi,08:45,OFFICE,4689,1054,1189,2026-08-25T09:04:49+05:30,75.18333333333334,success
2026-08-25,D2,Doddanekkundi,09:00,OFFICE,4689,1054,1232,2026-08-25T09:20:32+05:30,59.46666666666667,success
2026-08-25,D2,Doddanekkundi,09:15,OFFICE,4689,1054,1250,2026-08-25T09:35:50+05:30,44.166666666666664,success
