origin_cluster_id,locality,departure_time,sample_size,mean_traffic_duration_seconds,median_traffic_duration_seconds,p90_traffic_duration_seconds,min_traffic_duration_seconds,max_traffic_duration_seconds,mean_arrival_buffer_minutes,median_arrival_buffer_minutes,worst_arrival_buffer_minutes,on_time_count,off_time_count
K3,Kaggadasapura,08:45,5,1571.2,1599.0,1661.2,1387.0,1694.0,68.81333333333333,68.35,66.76666666666667,5,0
K3,Kaggadasapura,09:00,5,1581.8,1631.0,1670.2,1400.0,1695.0,53.63666666666667,52.81666666666667,51.75,5,0
K3,Kaggadasapura,09:15,5,1582.6,1595.0,1682.8,1412.0,1704.0,38.623333333333335,38.416666666666664,36.6,5,0
K3,Kaggadasapura,09:30,5,1595.4,1626.0,1701.2,1419.0,1722.0,23.410000000000004,22.9,21.3,5,0
K3,Kaggadasapura,09:45,5,1605.8,1605.0,1727.8,1441.0,1769.0,8.236666666666668,8.25,5.516666666666667,5,0
K3,Kaggadasapura,10:00,5,1610.6,1619.0,1723.2,1451.0,1756.0,-6.843333333333334,-6.983333333333333,-9.266666666666667,0,5
R1,KR Puram,08:30,5,1289.6,1363.0,1421.8,967.0,1423.0,88.50666666666666,87.28333333333333,86.28333333333333,5,0
R1,KR Puram,08:45,5,1358.4,1476.0,1504.4,983.0,1512.0,72.35999999999999,70.4,69.8,5,0
R1,KR Puram,09:00,5,1355.4,1461.0,1510.8,988.0,1536.0,57.410000000000004,55.65,54.4,5,0
R1,KR Puram,09:15,5,1354.2,1438.0,1509.0,999.0,1529.0,42.43,41.03333333333333,39.516666666666666,5,0
R1,KR Puram,09:30,5,1351.0,1457.0,1506.2,1002.0,1529.0,27.48333333333333,25.716666666666665,24.516666666666666,5,0
R1,KR Puram,09:45,5,1346.6,1452.0,1498.0,1014.0,1518.0,12.556666666666668,10.8,9.7,5,0
R1,KR Puram,10:00,5,1336.8,1421.0,1489.2,1024.0,1500.0,-2.2800000000000002,-3.683333333333333,-5.0,1,4
R2,KR Puram,08:30,5,1113.2,1193.0,1249.6,789.0,1250.0,91.44666666666669,90.11666666666666,89.16666666666667,5,0
R2,KR Puram,08:45,5,1170.6,1280.0,1320.4,797.0,1322.0,75.49,73.66666666666667,72.96666666666667,5,0
R2,KR Puram,09:00,5,1174.8,1279.0,1335.0,807.0,1359.0,60.42,58.68333333333333,57.35,5,0
R2,KR Puram,09:15,5,1171.8,1258.0,1336.6,806.0,1359.0,45.47,44.03333333333333,42.35,5,0
R2,KR Puram,09:30,5,1179.0,1285.0,1346.0,814.0,1374.0,30.35,28.583333333333332,27.1,5,0
