origin_cluster_id,locality,departure_time,destination_cluster_id,distance_meters,static_duration_seconds,traffic_duration_seconds,route_description,encoded_polyline,predicted_arrival_time,arrival_buffer_minutes,status
D1,Doddanekkundi,2026-08-24T08:45:00+05:30,OFFICE,4436,932,1022,Graphite India Main Rd/Kundalahalli Main Rd,yvdnAwzfyM@b@CVK@iMmAIGHgCBs@DMBAP@rA`@hBVnD`@n@HRA[{AsAuEWqA?UQWkAk@iAk@GE_@AFo@PgFJkHFuBsDdAMFKIiB{GgD|@}D`A_Dz@eBXw@JyANcByJeCf@uFfAgCZsAF}FDcCCIJ}@TwB^iKzB{FlAuDr@wJtBkCl@_@HIjBU~AuAjHGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T09:02:02+05:30,77.96666666666667,success
D1,Doddanekkundi,2026-08-24T09:00:00+05:30,OFFICE,4436,932,1054,Graphite India Main Rd/Kundalahalli Main Rd,yvdnAwzfyM@b@CVK@iMmAIGHgCBs@DMBAP@rA`@hBVnD`@n@HRA[{AsAuEWqA?UQWkAk@iAk@GE_@AFo@PgFJkHFuBsDdAMFKIiB{GgD|@}D`A_Dz@eBXw@JyANcByJeCf@uFfAgCZsAF}FDcCCIJ}@TwB^iKzB{FlAuDr@wJtBkCl@_@HIjBU~AuAjHGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T09:17:34+05:30,62.43333333333333,success
D1,Doddanekkundi,2026-08-24T09:15:00+05:30,OFFICE,4436,932,1114,Graphite India Main Rd/Kundalahalli Main Rd,yvdnAwzfyM@b@CVK@iMmAIGHgCBs@DMBAP@rA`@hBVnD`@n@HRA[{AsAuEWqA?UQWkAk@iAk@GE_@AFo@PgFJkHFuBsDdAMFKIiB{GgD|@}D`A_Dz@eBXw@JyANcByJeCf@uFfAgCZsAF}FDcCCIJ}@TwB^iKzB{FlAuDr@wJtBkCl@_@HIjBU~AuAjHGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T09:33:34+05:30,46.43333333333333,success
D1,Doddanekkundi,2026-08-24T09:30:00+05:30,OFFICE,4436,932,1125,Graphite India Main Rd/Kundalahalli Main Rd,yvdnAwzfyM@b@CVK@iMmAIGHgCBs@DMBAP@rA`@hBVnD`@n@HRA[{AsAuEWqA?UQWkAk@iAk@GE_@AFo@PgFJkHFuBsDdAMFKIiB{GgD|@}D`A_Dz@eBXw@JyANcByJeCf@uFfAgCZsAF}FDcCCIJ}@TwB^iKzB{FlAuDr@wJtBkCl@_@HIjBU~AuAjHGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T09:48:45+05:30,31.25,success
D1,Doddanekkundi,2026-08-24T09:45:00+05:30,OFFICE,4436,932,1125,Graphite India Main Rd/Kundalahalli Main Rd,yvdnAwzfyM@b@CVK@iMmAIGHgCBs@DMBAP@rA`@hBVnD`@n@HRA[{AsAuEWqA?UQWkAk@iAk@GE_@AFo@PgFJkHFuBsDdAMFKIiB{GgD|@}D`A_Dz@eBXw@JyANcByJeCf@uFfAgCZsAF}FDcCCIJ}@TwB^iKzB{FlAuDr@wJtBkCl@_@HIjBU~AuAjHGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T10:03:45+05:30,16.25,success
D1,Doddanekkundi,2026-08-24T10:00:00+05:30,OFFICE,4436,932,1133,Graphite India Main Rd/Kundalahalli Main Rd,yvdnAwzfyM@b@CVK@iMmAIGHgCBs@DMBAP@rA`@hBVnD`@n@HRA[{AsAuEWqA?UQWkAk@iAk@GE_@AFo@PgFJkHFuBsDdAMFKIiB{GgD|@}D`A_Dz@eBXw@JyANcByJeCf@uFfAgCZsAF}FDcCCIJ}@TwB^iKzB{FlAuDr@wJtBkCl@_@HIjBU~AuAjHGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T10:18:53+05:30,1.1166666666666667,success
D2,Doddanekkundi,2026-08-24T08:30:00+05:30,OFFICE,4689,1054,1098,Goshala Rd,{ienAy~fyMQzFsC_A}@UcDzIOLSDq@^o@zBUbBWlAc@vAa@~BCZNd@l@z@qBhAeACY@GEIO_@M_AQcCWsCe@]OqAq@{@MwBQ}BC[FqAaJGk@EG_@@{F|@gADsEJq@Hw@ZW?oB]_B_@eEs@BqA?w@eASCK@]p@{DReBtAT\kAv@wBT_AXyA\_CRiBtBwY{FlAuDr@wJtBkCl@_@HIjBU~AuAjHGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T08:48:18+05:30,91.7,success
D2,Doddanekkundi,2026-08-24T08:45:00+05:30,OFFICE,4689,1054,1155,Goshala Rd,{ienAy~fyMQzFsC_A}@UcDzIOLSDq@^o@zBUbBWlAc@vAa@~BCZNd@l@z@qBhAeACY@GEIO_@M_AQcCWsCe@]OqAq@{@MwBQ}BC[FqAaJGk@EG_@@{F|@gADsEJq@Hw@ZW?oB]_B_@eEs@BqA?w@eASCK@]p@{DReBtAT\kAv@wBT_AXyA\_CRiBtBwY{FlAuDr@wJtBkCl@_@HIjBU~AuAjHGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T09:04:15+05:30,75.75,success
D2,Doddanekkundi,2026-08-24T09:00:00+05:30,OFFICE,4689,1054,1160,Goshala Rd,{ienAy~fyMQzFsC_A}@UcDzIOLSDq@^o@zBUbBWlAc@vAa@~BCZNd@l@z@qBhAeACY@GEIO_@M_AQcCWsCe@]OqAq@{@MwBQ}BC[FqAaJGk@EG_@@{F|@gADsEJq@Hw@ZW?oB]_B_@eEs@BqA?w@eASCK@]p@{DReBtAT\kAv@wBT_AXyA\_CRiBtBwY{FlAuDr@wJtBkCl@_@HIjBU~AuAjHGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T09:19:20+05:30,60.666666666666664,success
D2,Doddanekkundi,2026-08-24T09:15:00+05:30,OFFICE,4689,1054,1177,Goshala Rd,{ienAy~fyMQzFsC_A}@UcDzIOLSDq@^o@zBUbBWlAc@vAa@~BCZNd@l@z@qBhAeACY@GEIO_@M_AQcCWsCe@]OqAq@{@MwBQ}BC[FqAaJGk@EG_@@{F|@gADsEJq@Hw@ZW?oB]_B_@eEs@BqA?w@eASCK@]p@{DReBtAT\kAv@wBT_AXyA\_CRiBtBwY{FlAuDr@wJtBkCl@_@HIjBU~AuAjHGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T09:34:37+05:30,45.38333333333333,success
D2,Doddanekkundi,2026-08-24T09:30:00+05:30,OFFICE,4689,1054,1181,Goshala Rd,{ienAy~fyMQzFsC_A}@UcDzIOLSDq@^o@zBUbBWlAc@vAa@~BCZNd@l@z@qBhAeACY@GEIO_@M_AQcCWsCe@]OqAq@{@MwBQ}BC[FqAaJGk@EG_@@{F|@gADsEJq@Hw@ZW?oB]_B_@eEs@BqA?w@eASCK@]p@{DReBtAT\kAv@wBT_AXyA\_CRiBtBwY{FlAuDr@wJtBkCl@_@HIjBU~AuAjHGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T09:49:41+05:30,30.316666666666666,success
D2,Doddanekkundi,2026-08-24T09:45:00+05:30,OFFICE,4689,1054,1189,Goshala Rd,{ienAy~fyMQzFsC_A}@UcDzIOLSDq@^o@zBUbBWlAc@vAa@~BCZNd@l@z@qBhAeACY@GEIO_@M_AQcCWsCe@]OqAq@{@MwBQ}BC[FqAaJGk@EG_@@{F|@gADsEJq@Hw@ZW?oB]_B_@eEs@BqA?w@eASCK@]p@{DReBtAT\kAv@wBT_AXyA\_CRiBtBwY{FlAuDr@wJtBkCl@_@HIjBU~AuAjHGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T10:04:49+05:30,15.183333333333334,success
D2,Doddanekkundi,2026-08-24T10:00:00+05:30,OFFICE,4689,1054,1217,Goshala Rd,{ienAy~fyMQzFsC_A}@UcDzIOLSDq@^o@zBUbBWlAc@vAa@~BCZNd@l@z@qBhAeACY@GEIO_@M_AQcCWsCe@]OqAq@{@MwBQ}BC[FqAaJGk@EG_@@{F|@gADsEJq@Hw@ZW?oB]_B_@eEs@BqA?w@eASCK@]p@{DReBtAT\kAv@wBT_AXyA\_CRiBtBwY{FlAuDr@wJtBkCl@_@HIjBU~AuAjHGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T10:20:17+05:30,-0.2833333333333333,success
D3,Doddanekkundi,2026-08-24T08:30:00+05:30,OFFICE,4802,845,950,Graphite India Main Rd/Kundalahalli Main Rd,c_fnA{yeyMpDmBfD}AvEgCnE}B`DcBtCcBxBmAVY@M~@oBn@qA@YwAiGsAuEWqA?UQWkAk@iAk@GE_@AFo@PgFJkHFuBsDdAMFKIiB{GgD|@}D`A_Dz@eBXw@JyANcByJeCf@uFfAgCZsAF}FDcCCIJ}@TwB^iKzB{FlAuDr@wJtBkCl@_@HIjBU~AuAjHGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T08:45:50+05:30,94.16666666666667,success
D3,Doddanekkundi,2026-08-24T08:45:00+05:30,OFFICE,4802,845,982,Graphite India Main Rd/Kundalahalli Main Rd,c_fnA{yeyMpDmBfD}AvEgCnE}B`DcBtCcBxBmAVY@M~@oBn@qA@YwAiGsAuEWqA?UQWkAk@iAk@GE_@AFo@PgFJkHFuBsDdAMFKIiB{GgD|@}D`A_Dz@eBXw@JyANcByJeCf@uFfAgCZsAF}FDcCCIJ}@TwB^iKzB{FlAuDr@wJtBkCl@_@HIjBU~AuAjHGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T09:01:22+05:30,78.63333333333334,success
D3,Doddanekkundi,2026-08-24T09:00:00+05:30,OFFICE,4802,845,1044,Graphite India Main Rd/Kundalahalli Main Rd,c_fnA{yeyMpDmBfD}AvEgCnE}B`DcBtCcBxBmAVY@M~@oBn@qA@YwAiGsAuEWqA?UQWkAk@iAk@GE_@AFo@PgFJkHFuBsDdAMFKIiB{GgD|@}D`A_Dz@eBXw@JyANcByJeCf@uFfAgCZsAF}FDcCCIJ}@TwB^iKzB{FlAuDr@wJtBkCl@_@HIjBU~AuAjHGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T09:17:24+05:30,62.6,success
D3,Doddanekkundi,2026-08-24T09:15:00+05:30,OFFICE,4802,845,1095,Graphite India Main Rd/Kundalahalli Main Rd,c_fnA{yeyMpDmBfD}AvEgCnE}B`DcBtCcBxBmAVY@M~@oBn@qA@YwAiGsAuEWqA?UQWkAk@iAk@GE_@AFo@PgFJkHFuBsDdAMFKIiB{GgD|@}D`A_Dz@eBXw@JyANcByJeCf@uFfAgCZsAF}FDcCCIJ}@TwB^iKzB{FlAuDr@wJtBkCl@_@HIjBU~AuAjHGb@REHGJQDSRTp@H@I[CIIGW@UPcAHKVC~@BR@~@A,2026-08-24T09:33:15+05:30,46.75,success
